time_sec,Instrument_0_Bass,Instrument_1_Grand Piano,Instrument_2_909 Drum Kit,Instrument_3_Smooth Synth (Classic),Instrument_4_Electric Drum Kit,Instrument_5_Violin,Instrument_6_8-Bit Sawtooth,Instrument_7_Strings,Instrument_8_Violin (Classic),Instrument_9_Trombone (Classic)
83.08985024999998,,74 86,,27 27,,,27 39,39 51 63 75,74 86,62
83.25838949999999,,77 89,,27 27,,,27 39,39 51 63 75,77 89,65
83.42692874999999,,77 89,,27 27,,,27 39,39 51 63 75,77 89,65
83.595468,,77 89,35 35 36,26 26,,,26 38,38 50 62 74,77 89,65
83.76400724999999,,,,26 26,,,26 38,38 50 62 74,,
83.93254649999999,,79 91,,26 26,,,26 38,38 50 62 74,79 91,67
84.10108575,,79 91,,26 26,,,26 38,38 50 62 74,79 91,67
84.26962499999999,,75 79 87 91,38 38 38,26 26,,,26 38,38 50 62 74,75 79 87 91,63 67
84.43816424999999,,75 79 87 91,,26 26,,,26 38,38 50 62 74,75 79 87 91,63 67
84.6067035,,75 87,,26 26,,,26 38,38 50 62 74,75 87,63
84.77524274999999,,75 87,35 35 36,26 26,,,26 38,38 50 62 74,75 87,63
84.94378199999998,,75 87,,26 26,,,26 38,38 50 62 74,75 87,63
85.11232125,,75 87,35 35 36,26 26,,,26 38,38 50 62 74,75 87,63
85.28086049999999,,75 87,35 35 36,26 26,,,26 38,38 50 62 74,75 87,63
85.44939974999998,,75 87,,26 26,,,26 38,38 50 62 74,75 87,63
